	X	Y	OBJECTID	LocID	API	ConstructNumber	ConstructType	ConstructStatus	LocType	ElevationType	Depth	Latitude	Longitude	CoordsBH_N	CoordsBH_E	UTMZone	FootageNS	Dir_NS	FootageEW	Dir_EW	QtrQtr	Section	Township	TownshipDir	Range	RangeDir	Meridian	County	FORKLIFT_HASH
3	-110.042484006	40.377493391	133503	120315	4301331149	0	Vertical	P	BH			40.377487	-110.042473	4470096.0	581283.0	12.0	1045	FSL	1722.0	FWL	SESW	19.0	1.0	S	1.0	W	U	7.0	05c42a7af6508cf3
17	-110.052580276	40.4312249870001	133518	113070	4301350424	0	Vertical	LA	BH			40.431219	-110.052569	4476051.0	580362.0	12.0	660	FNL	1000.0	FEL	NENE	1.0	1.0	S	2.0	W	U	7.0	764d5d3189c823fc
25	-110.061786841	40.425354172	133527	131238	4301330014	0	Vertical	PA	BH			40.425348	-110.061776	4475391.0	579588.0	12.0	2808	FNL	1521.0	FWL	SENW	1.0	1.0	S	2.0	W	U	7.0	9193a49856884f16
37	-110.206470409	40.010919098	133543	125013	4301332816	0	Vertical	I	BH			40.010913	-110.206459	4429270.0	567726.0	12.0	660	FSL	660.0	FWL	SWSW	23.0	9.0	S	15.0	E	S	7.0	69c62c904dc08fdf
62	-110.221196362	40.0183168040001	133572	130250	4301332857	0	Vertical	I	BH			40.018311	-110.221185	4430080.0	566462.0	12.0	1949	FNL	1157.0	FWL	SENW	22.0	9.0	S	15.0	E	S	7.0	b7559c31810b66f3
141	-110.116539544	40.0376214780001	133663	118534	4301350442	0	Horizontal	LA	BH			40.037615	-110.116528	4432306.0	575372.0	12.0	150	FNL	450.0	FEL	NENE	16.0	9.0	S	16.0	E	S	7.0	27c0305a06046e90
309	-110.035820028	40.0630513830001	133848	113297	4301350546	0	Directional	P	BH			40.063045	-110.035809	4435200.0	582228.0	12.0	1490	FNL	1139.0	FWL	SWNW	5.0	9.0	S	17.0	E	S	7.0	3af0ef0d5d29d5e6
311	-109.988808553	40.038694358	133850	113765	4301351266	0	Directional	P	BH			40.038688	-109.988797	4432541.0	586268.0	12.0	125	FSL	1520.0	FEL	SWSE	10.0	9.0	S	17.0	E	S	7.0	ee289b016f55487e
314	-109.997104349	40.0556952950001	133853	113890	4301351469	0	Directional	P	BH			40.055689	-109.997093	4434420.0	585539.0	12.0	1099	FSL	1566.0	FWL	SESW	3.0	9.0	S	17.0	E	S	7.0	c79509ec2f6f5457
324	-110.028072309	40.04716597	133866	115946	4301330542	0	Vertical	I	BH			40.04716	-110.028061	4433444.0	582908.0	12.0	1980	FNL	1980.0	FEL	SWNE	8.0	9.0	S	17.0	E	S	7.0	eda16317a0caca75
383	-110.316377441	40.428049881	133931	120306	4301330208	0	Vertical	PA	BH			40.428044	-110.316366	4475492.0	557989.0	12.0	1381	FNL	1021.0	FEL		3.0	1.0	S	4.0	W	U	7.0	99e77de6b08ba375
396	-110.678152356	40.355027153	133944	116639	4301311450	0	Vertical	PA	BH			40.355021	-110.678141	4467212.0	527331.0	12.0	660	FNL	1980.0	FEL	NWNE	33.0	1.0	S	7.0	W	U	7.0	28aab052a44ea826
553	-110.11359337	40.259202902	134130	146176	4301353718	0	Horizontal	APD	BH			40.259197	-110.113582	4456903.0	575378.0	12.0	330	FSL	2310.0	FEL	SWSE	33.0	2.0	S	2.0	W	U	7.0	6fcd5ff7db2b3b74
679	-110.019275217	40.327253677	134273	115065	4301331203	0	Vertical	P	BH			40.327248	-110.019264	4464541.0	583315.0	12.0	1412	FNL	2380.0	FEL	SWNE	8.0	2.0	S	1.0	W	U	7.0	c912d3e27212452d
845	-110.316988631	40.261302933	134478	120863	4301351630	0	Vertical	LA	BH			40.261297	-110.316977	4456983.0	558080.0	12.0	1671	FSL	1139.0	FEL	NESE	34.0	2.0	S	4.0	W	U	7.0	cf8f889f194b4d78
982	-110.420808331	40.318861815	134641	136959	4301331080	0	Vertical	PA	BH			40.318856	-110.420797	4463309.0	549210.0	12.0	1654	FSL	1754.0	FWL	NESW	11.0	2.0	S	5.0	W	U	7.0	7824f89bd6d690c1
1007	-110.425883485	40.182224476	134668	152231	4301354042	0	Horizontal	APD	BH			40.182218	-110.425872	4448140.0	548877.0	12.0	600	FNL	330.0	FWL	NWNW	35.0	3.0	S	5.0	W	U	7.0	d9879dea66afd12a
1016	-110.57440151	40.229624712	134679	114294	4301331096	0	Vertical	PA	BH			40.229619	-110.57439	4453330.0	536208.0	12.0	948	FSL	933.0	FWL	SWSW	9.0	3.0	S	6.0	W	U	7.0	00a69ed3897bac23
1017	-110.507232143	40.2058346640001	134680	114380	4301330372	0	Vertical	PA	BH			40.205829	-110.507221	4450719.0	541937.0	12.0	2467	FNL	1501.0	FEL	SWNE	24.0	3.0	S	6.0	W	U	7.0	cb8648550f37272e
1041	-110.628113779	40.1877266340001	134711	128683	4301331636	0	Vertical	PA	BH			40.187721	-110.628102	4448659.0	531658.0	12.0	1506	FSL	1551.0	FWL	NESW	25.0	3.0	S	7.0	W	U	7.0	693d72a57cdaa82b
