WellsFile
WellName,API,Operator,OperatorNo,FieldName,Ground_Elev,Kelly_Elev,Floor_Elev,FootageNS,NS,FootageEW,EW,UTM_Surf_N,UTM_Surf_E,Latitude,Longitude,QuarterQuarter,Sec,Township,TownshipDir,Range,RangeDir,PM,CountyName,Dir_Horiz,Dir_Vert,Dir_Direct,Confidential,ConfRelDate,LeaseNumber,LeaseType,SurfaceOwner,AbandonDate,wellstatus,welltype,TotCum_Oil,TotCum_Gas,TotCum_Water,Ind_Tribe,Multi_Lats,OriginalFieldType,UnitName
Hamblin 2-26-A2,43013309030000,Alt±mont Energy Oper±ting LLC,104421,BLUEBELL,,5562.0,,1700,N,1525,E,4469149.0,578711.0,40.369203,-110.072884,SWNE,26,1.0,S,2.0,W,U,DUCHESNE,N,Y,N,No,,FEE,FEE,FEE,2020-06-29 00:00:00.000,PA,OW,219887.0,262745.0,209691.0,,0,DEVELOPMENT,
Smith 2-7C5,43013313270000,Alt±mont Energy Oper±ting LLC,104421,ALTAMONT                 ,,6061.0,,1538,S,1349,W,4453560.0,542796.0,40.23138,-110.496938,NESW,7,3.0,S,5.0,W,U,DUCHESNE,N,Y,N,No,,14-20-H62-4855,INDIAN,FEE,,P,OW,180771.0,678199.0,2222672.0,,0,DEVELOPMENT,
Lamb 2-16A2,43013313900000,Alt±mont Energy Oper±ting LLC,104421,BLUEBELL,,5880.0,,660,N,1120,E,4472656.0,575592.0,40.401084,-110.109202,NENE,16,1.0,S,2.0,W,U,DUCHESNE,N,Y,N,No,,FEE,FEE,FEE,,P,OW,83208.0,109578.0,154568.0,,0,DEVELOPMENT,
Mecham 3-1B2,43013518440000,Alt±mont Energy Oper±ting LLC,104421,BLUEBELL,5267.0,,,1498,S,1079,E,4465340.0,580494.0,40.334722,-110.052366,NESE,1,2.0,S,2.0,W,U,DUCHESNE,N,Y,N,No,2014-10-08 00:00:00.000,ML- 22871,STATE,FEE,,P,OW,164936.0,241024.0,348578.0,,0,DEVELOPMENT,
Moonshadow Ranches 14-20-2-1E,43013534680000,"B±dl±nds Energy-Ut±h, LLC",100166,BLUEBELL,5071.0,,,550,S,656,W,4460418.0,592335.0,40.28916,-109.913698,SWSW,20,2.0,S,1.0,E,U,DUCHESNE,N,Y,N,No,,FEE,FEE,FEE,,RET,OW,,,,,0,DEVELOPMENT,
Altamont SWD 1,43013303720000,B±rrett Resources Corp,100188,ALTAMONT                 ,5820.0,,,2467,N,1501,E,4450719.0,541937.0,40.205829,-110.507221,SWNE,24,3.0,S,6.0,W,U,DUCHESNE,N,Y,N,No,,14-20-H62-1137,INDIAN,FEE,1999-07-17 00:00:00.000,PA,WD,0.0,0.0,0.0,,0,DEVELOPMENT,
Ute Tribal 3-20,43013316630000,B±rrett Resources Corp,100188,BRUNDAGE CANYON          ,6597.0,,,320,N,2090,W,4432206.0,554499.0,40.038322,-110.361182,NENW,20,5.0,S,4.0,W,U,DUCHESNE,N,N,N,No,,14-20-H62-3529,INDIAN,INDIAN,,LA,OW,0.0,0.0,0.0,,0,DEVELOPMENT,
LC Tribal 11-15D-56,43013531890000,Berry Petroleum Comp±ny LLC,100222,LAKE CANYON              ,7438.0,,,1093,S,2380,E,4432545.0,538803.0,40.042244,-110.545138,SWSE,15,5.0,S,6.0,W,U,DUCHESNE,N,N,Y,No,,1420H626436,INDIAN,FEE,,RET,OW,,,,UTE,0,DEVELOPMENT,
Ute Tribal 15-11D-55,43013525670000,Berry Petroleum Comp±ny LLC,100222,BRUNDAGE CANYON          ,6723.0,,,692,S,846,E,4434098.0,550421.0,40.055621,-110.408833,SESE,11,5.0,S,5.0,W,U,DUCHESNE,N,N,Y,No,,1420H625670,INDIAN,INDIAN,,LA,OW,,,,UTE,0,DEVELOPMENT,
Ute Tribal 14-5D-54,43013524930000,Berry Petroleum Comp±ny LLC,100222,BRUNDAGE CANYON          ,6390.0,,,1795,S,1786,W,4436068.0,554368.0,40.073123,-110.362393,NESW,5,5.0,S,4.0,W,U,DUCHESNE,N,N,Y,No,2015-08-14 00:00:00.000,1420H625667,INDIAN,INDIAN,,P,OW,20656.0,287868.0,20108.0,UTE,0,DEVELOPMENT,BRUNDAGE CANYON
